Name                Version      License                                                                                           Author                                                                                                                      
PyYAML              6.0.2        MIT License                                                                                       Kirill Simonov                                                                                                              
Pygments            2.18.0       BSD License                                                                                       Georg Brandl <georg@python.org>                                                                                             
aiohappyeyeballs    2.4.0        Other/Proprietary License; Python Software Foundation License                                     J. Nick Koston                                                                                                              
aiohttp             3.10.5       Apache Software License                                                                           UNKNOWN                                                                                                                     
aiosignal           1.3.1        Apache Software License                                                                           UNKNOWN                                                                                                                     
asttokens           2.4.1        Apache 2.0                                                                                        Dmitry Sagalovskiy, Grist Labs                                                                                              
async-timeout       4.0.3        Apache Software License                                                                           Andrew Svetlov <andrew.svetlov@gmail.com>                                                                                   
attrs               24.2.0       MIT License                                                                                       Hynek Schlawack <hs@ox.cx>                                                                                                  
backports.tarfile   1.2.0        MIT License                                                                                       "Jason R. Coombs" <jaraco@jaraco.com>                                                                                       
black               24.8.0       MIT License                                                                                       Łukasz Langa <lukasz@langa.pl>                                                                                              
blackdoc            0.3.9        MIT License                                                                                       Justus Magin                                                                                                                
certifi             2024.7.4     Mozilla Public License 2.0 (MPL 2.0)                                                              Kenneth Reitz                                                                                                               
charset-normalizer  3.3.2        MIT License                                                                                       Ahmed TAHRI                                                                                                                 
click               8.1.7        BSD License                                                                                       UNKNOWN                                                                                                                     
coverage            7.6.1        Apache Software License                                                                           Ned Batchelder and 230 others                                                                                               
datasets            2.21.0       Apache Software License                                                                           HuggingFace Inc.                                                                                                            
decorator           5.1.1        BSD License                                                                                       Michele Simionato                                                                                                           
dill                0.3.8        BSD License                                                                                       Mike McKerns                                                                                                                
docutils            0.21.2       BSD License; GNU General Public License (GPL); Public Domain; Python Software Foundation License  David Goodger <goodger@python.org>                                                                                          
exceptiongroup      1.2.2        MIT License                                                                                       Alex Grönholm <alex.gronholm@nextday.fi>                                                                                    
execnet             2.1.1        MIT License                                                                                       holger krekel and others                                                                                                    
executing           2.0.1        MIT License                                                                                       Alex Hall                                                                                                                   
filelock            3.15.4       The Unlicense (Unlicense)                                                                         UNKNOWN                                                                                                                     
frozenlist          1.4.1        Apache Software License                                                                           UNKNOWN                                                                                                                     
fsspec              2024.6.1     BSD License                                                                                       UNKNOWN                                                                                                                     
huggingface-hub     0.24.6       Apache Software License                                                                           Hugging Face, Inc.                                                                                                          
idna                3.8          BSD License                                                                                       Kim Davies <kim+pypi@gumleaf.org>                                                                                           
imbalanced-learn    0.12.3       MIT                                                                                               UNKNOWN                                                                                                                     
importlib_metadata  8.4.0        Apache Software License                                                                           "Jason R. Coombs" <jaraco@jaraco.com>                                                                                       
iniconfig           2.0.0        MIT License                                                                                       Ronny Pfannschmidt <opensource@ronnypfannschmidt.de>, Holger Krekel <holger.krekel@gmail.com>                               
ipython             8.26.0       BSD License                                                                                       The IPython Development Team                                                                                                
isort               5.13.2       MIT License                                                                                       Timothy Crosley                                                                                                             
jaraco.classes      3.4.0        MIT License                                                                                       Jason R. Coombs                                                                                                             
jaraco.context      6.0.1        MIT License                                                                                       "Jason R. Coombs" <jaraco@jaraco.com>                                                                                       
jaraco.functools    4.0.2        MIT License                                                                                       "Jason R. Coombs" <jaraco@jaraco.com>                                                                                       
jedi                0.19.1       MIT License                                                                                       David Halter                                                                                                                
joblib              1.4.2        BSD License                                                                                       Gael Varoquaux <gael.varoquaux@normalesup.org>                                                                              
keyring             25.3.0       MIT License                                                                                       Kang Zhang <jobo.zh@gmail.com>                                                                                              
loguru              0.7.2        MIT License                                                                                       Delgan                                                                                                                      
lz4                 4.3.3        BSD License                                                                                       Jonathan Underwood                                                                                                          
markdown-it-py      3.0.0        MIT License                                                                                       Chris Sewell <chrisj_sewell@hotmail.com>                                                                                    
matplotlib-inline   0.1.7        BSD License                                                                                       IPython Development Team <ipython-dev@python.org>                                                                           
mdurl               0.1.2        MIT License                                                                                       Taneli Hukkinen <hukkin@users.noreply.github.com>                                                                           
more-itertools      10.4.0       MIT License                                                                                       Erik Rose <erikrose@grinchcentral.com>                                                                                      
multidict           6.0.5        Apache Software License                                                                           Andrew Svetlov                                                                                                              
multiprocess        0.70.16      BSD License                                                                                       Mike McKerns                                                                                                                
mypy                1.11.2       MIT License                                                                                       Jukka Lehtosalo                                                                                                             
mypy-extensions     1.0.0        MIT License                                                                                       The mypy developers                                                                                                         
nh3                 0.2.18       MIT                                                                                               messense <messense@icloud.com>                                                                                              
numpy               2.1.0        BSD License                                                                                       Travis E. Oliphant et al.                                                                                                   
orjson              3.10.7       Apache Software License; MIT License                                                              ijl <ijl@mailbox.org>                                                                                                       
packaging           24.1         Apache Software License; BSD License                                                              Donald Stufft <donald@stufft.io>                                                                                            
pandas              2.2.2        BSD License                                                                                       The Pandas Development Team <pandas-dev@python.org>                                                                         
parso               0.8.4        MIT License                                                                                       David Halter                                                                                                                
pathspec            0.12.1       Mozilla Public License 2.0 (MPL 2.0)                                                              "Caleb P. Burns" <cpburnz@gmail.com>                                                                                        
pexpect             4.9.0        ISC License (ISCL)                                                                                Noah Spurrier; Thomas Kluyver; Jeff Quast                                                                                   
pkginfo             1.10.0       MIT License                                                                                       Tres Seaver, Agendaless Consulting                                                                                          
platformdirs        4.2.2        MIT License                                                                                       UNKNOWN                                                                                                                     
